time	Freq	W	B2	B1
2022-04-04, 10:23:38	0 Hz	0 W	1E3 mbar	6,5E2 mbar
2022-04-04, 10:23:40	0 Hz	0 W	1E3 mbar	5,5E2 mbar
2022-04-04, 10:23:42	0 Hz	0 W	1E3 mbar	3,9E2 mbar
2022-04-04, 10:23:44	0 Hz	0 W	1E3 mbar	3,4E2 mbar
2022-04-04, 10:23:46	0 Hz	0 W	1E3 mbar	2,6E2 mbar
2022-04-04, 10:23:48	0 Hz	0 W	1E3 mbar	1,9E2 mbar
2022-04-04, 10:23:50	0 Hz	0 W	1E3 mbar	1,7E2 mbar
2022-04-04, 10:23:52	0 Hz	0 W	5E2 mbar	1,5E2 mbar
2022-04-04, 10:23:54	0 Hz	0 W	3,4E2 mbar	1,2E2 mbar
2022-04-04, 10:23:56	0 Hz	0 W	2,5E2 mbar	9,6E1 mbar
2022-04-04, 10:23:58	0 Hz	0 W	1,8E2 mbar	8,2E1 mbar
2022-04-04, 10:24:00	0 Hz	0 W	1,5E2 mbar	6,8E1 mbar
2022-04-04, 10:24:02	0 Hz	0 W	1,1E2 mbar	6,3E1 mbar
2022-04-04, 10:24:04	0 Hz	0 W	8,9E1 mbar	5,6E1 mbar
2022-04-04, 10:24:06	0 Hz	0 W	7E1 mbar	4,8E1 mbar
2022-04-04, 10:24:08	0 Hz	0 W	6,2E1 mbar	4E1 mbar
2022-04-04, 10:24:10	0 Hz	0 W	5,3E1 mbar	3,7E1 mbar
2022-04-04, 10:24:12	0 Hz	0 W	4,3E1 mbar	3,3E1 mbar
2022-04-04, 10:24:14	0 Hz	0 W	3,8E1 mbar	3,1E1 mbar
2022-04-04, 10:24:16	0 Hz	0 W	3,5E1 mbar	2,7E1 mbar
2022-04-04, 10:24:18	0 Hz	0 W	3,1E1 mbar	2,3E1 mbar
2022-04-04, 10:24:20	0 Hz	0 W	2,7E1 mbar	1,9E1 mbar
2022-04-04, 10:24:22	0 Hz	0 W	2,5E1 mbar	1,8E1 mbar
2022-04-04, 10:24:24	0 Hz	0 W	2,1E1 mbar	1,7E1 mbar
2022-04-04, 10:24:26	0 Hz	0 W	1,8E1 mbar	1,6E1 mbar
2022-04-04, 10:24:28	0 Hz	0 W	1,7E1 mbar	1,4E1 mbar
2022-04-04, 10:24:30	0 Hz	0 W	1,5E1 mbar	1,3E1 mbar
2022-04-04, 10:24:32	0 Hz	0 W	1,4E1 mbar	1,1E1 mbar
2022-04-04, 10:24:34	0 Hz	0 W	1,3E1 mbar	1E1 mbar
2022-04-04, 10:24:36	0 Hz	0 W	1,1E1 mbar	9,6E0 mbar
2022-04-04, 10:24:38	0 Hz	0 W	1E1 mbar	9E0 mbar
2022-04-04, 10:24:40	0 Hz	0 W	9,8E0 mbar	8,5E0 mbar
2022-04-04, 10:24:42	0 Hz	0 W	9,3E0 mbar	8E0 mbar
2022-04-04, 10:24:44	0 Hz	0 W	8,8E0 mbar	7,6E0 mbar
2022-04-04, 10:24:46	0 Hz	0 W	8,3E0 mbar	7,1E0 mbar
2022-04-04, 10:24:48	0 Hz	0 W	7,8E0 mbar	6,8E0 mbar
2022-04-04, 10:24:50	0 Hz	0 W	7,4E0 mbar	6,6E0 mbar
2022-04-04, 10:24:52	0 Hz	0 W	7E0 mbar	6,5E0 mbar
2022-04-04, 10:24:54	0 Hz	0 W	6,8E0 mbar	6,3E0 mbar
2022-04-04, 10:24:56	0 Hz	0 W	6,6E0 mbar	6,1E0 mbar
2022-04-04, 10:24:58	0 Hz	0 W	6,5E0 mbar	5,9E0 mbar
2022-04-04, 10:25:00	0 Hz	0 W	6,4E0 mbar	5,8E0 mbar
2022-04-04, 10:25:02	0 Hz	0 W	6,2E0 mbar	5,6E0 mbar
2022-04-04, 10:25:04	0 Hz	0 W	6,1E0 mbar	5,5E0 mbar
2022-04-04, 10:25:06	0 Hz	0 W	5,9E0 mbar	5,4E0 mbar
2022-04-04, 10:25:08	0 Hz	0 W	5,8E0 mbar	5,2E0 mbar
2022-04-04, 10:25:10	0 Hz	0 W	5,7E0 mbar	5,1E0 mbar
2022-04-04, 10:25:12	0 Hz	0 W	5,5E0 mbar	5E0 mbar
2022-04-04, 10:25:14	0 Hz	0 W	5,5E0 mbar	4,9E0 mbar
2022-04-04, 10:25:16	0 Hz	0 W	5,4E0 mbar	4,8E0 mbar
2022-04-04, 10:25:18	0 Hz	0 W	5,3E0 mbar	4,7E0 mbar
2022-04-04, 10:25:20	0 Hz	0 W	5,2E0 mbar	4,6E0 mbar
2022-04-04, 10:25:22	0 Hz	0 W	5,1E0 mbar	4,5E0 mbar
2022-04-04, 10:25:24	0 Hz	0 W	5E0 mbar	4,4E0 mbar
2022-04-04, 10:25:26	0 Hz	0 W	4,9E0 mbar	4,4E0 mbar
2022-04-04, 10:25:28	0 Hz	0 W	4,9E0 mbar	4,3E0 mbar
2022-04-04, 10:25:30	0 Hz	0 W	4,8E0 mbar	4,2E0 mbar
2022-04-04, 10:25:32	0 Hz	0 W	4,7E0 mbar	4,2E0 mbar
2022-04-04, 10:25:34	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-04-04, 10:25:36	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 10:25:38	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 10:25:40	0 Hz	0 W	4,6E0 mbar	3,9E0 mbar
2022-04-04, 10:25:42	0 Hz	0 W	4,5E0 mbar	3,9E0 mbar
2022-04-04, 10:25:44	0 Hz	0 W	4,5E0 mbar	3,9E0 mbar
2022-04-04, 10:25:46	0 Hz	0 W	4,4E0 mbar	3,9E0 mbar
2022-04-04, 10:25:48	0 Hz	0 W	4,4E0 mbar	3,9E0 mbar
2022-04-04, 10:25:50	0 Hz	0 W	4,3E0 mbar	3,9E0 mbar
2022-04-04, 10:25:52	0 Hz	0 W	4,3E0 mbar	3,8E0 mbar
2022-04-04, 10:25:54	0 Hz	0 W	4,3E0 mbar	3,8E0 mbar
2022-04-04, 10:25:56	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2022-04-04, 10:25:58	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2022-04-04, 10:26:00	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2022-04-04, 10:26:02	0 Hz	0 W	4,1E0 mbar	3,8E0 mbar
2022-04-04, 10:26:04	0 Hz	0 W	4,1E0 mbar	3,8E0 mbar
2022-04-04, 10:26:06	0 Hz	0 W	4,1E0 mbar	3,8E0 mbar
2022-04-04, 10:26:08	0 Hz	0 W	4,1E0 mbar	3,8E0 mbar
2022-04-04, 10:26:10	0 Hz	0 W	4E0 mbar	3,7E0 mbar
2022-04-04, 10:26:12	0 Hz	0 W	4E0 mbar	3,7E0 mbar
2022-04-04, 10:26:14	0 Hz	0 W	4E0 mbar	3,7E0 mbar
2022-04-04, 10:26:16	0 Hz	0 W	4E0 mbar	3,7E0 mbar
2022-04-04, 10:26:18	0 Hz	0 W	4E0 mbar	3,7E0 mbar
