time	Freq	W	B2	B1
2022-04-04, 10:36:06	1500 Hz	15 W	3,1E-3 mbar	3E-3 mbar
2022-04-04, 10:36:08	1500 Hz	15 W	1E-3 mbar	5E-4 mbar
2022-04-04, 10:36:10	1500 Hz	16 W	1E-3 mbar	3E-4 mbar
2022-04-04, 10:36:12	1500 Hz	16 W	3,2E-5 mbar	2,5E-4 mbar
2022-04-04, 10:36:14	1500 Hz	16 W	2,8E-5 mbar	2,5E-4 mbar
2022-04-04, 10:36:16	1500 Hz	16 W	2,5E-5 mbar	2,5E-4 mbar
2022-04-04, 10:36:18	1500 Hz	15 W	2,4E-5 mbar	2E-4 mbar
2022-04-04, 10:36:20	1500 Hz	15 W	2,1E-5 mbar	2E-4 mbar
2022-04-04, 10:36:22	1500 Hz	15 W	2E-5 mbar	2E-4 mbar
2022-04-04, 10:36:24	1500 Hz	16 W	1,9E-5 mbar	2E-4 mbar
2022-04-04, 10:36:26	1500 Hz	16 W	1,8E-5 mbar	1,5E-4 mbar
2022-04-04, 10:36:28	1500 Hz	16 W	1,7E-5 mbar	1,5E-4 mbar
2022-04-04, 10:36:30	1500 Hz	15 W	1,7E-5 mbar	1,5E-4 mbar
2022-04-04, 10:36:32	1500 Hz	15 W	1,6E-5 mbar	1,5E-4 mbar
2022-04-04, 10:36:34	1500 Hz	16 W	1,6E-5 mbar	1,5E-4 mbar
2022-04-04, 10:36:36	1500 Hz	15 W	1,5E-5 mbar	1,5E-4 mbar
2022-04-04, 10:36:38	1500 Hz	16 W	1,5E-5 mbar	1,5E-4 mbar
2022-04-04, 10:36:40	1500 Hz	16 W	1,5E-5 mbar	1,5E-4 mbar
2022-04-04, 10:36:42	1500 Hz	16 W	1,4E-5 mbar	1,5E-4 mbar
2022-04-04, 10:36:44	1500 Hz	15 W	1,4E-5 mbar	1,5E-4 mbar
2022-04-04, 10:36:46	1500 Hz	15 W	1,4E-5 mbar	1,5E-4 mbar
2022-04-04, 10:36:48	1500 Hz	16 W	1,3E-5 mbar	1,5E-4 mbar
2022-04-04, 10:36:50	1500 Hz	16 W	1,3E-5 mbar	1,5E-4 mbar
2022-04-04, 10:36:52	1500 Hz	16 W	1,3E-5 mbar	1,5E-4 mbar
2022-04-04, 10:36:54	1500 Hz	15 W	1,3E-5 mbar	1,5E-4 mbar
2022-04-04, 10:36:56	1500 Hz	15 W	1,3E-5 mbar	1,5E-4 mbar
2022-04-04, 10:36:58	1500 Hz	15 W	1,2E-5 mbar	1,5E-4 mbar
2022-04-04, 10:37:00	1500 Hz	16 W	1,2E-5 mbar	1,5E-4 mbar
2022-04-04, 10:37:02	1500 Hz	16 W	1,2E-5 mbar	1,5E-4 mbar
2022-04-04, 10:37:04	1500 Hz	16 W	1,2E-5 mbar	1,5E-4 mbar
2022-04-04, 10:37:06	1500 Hz	16 W	1,2E-5 mbar	1,5E-4 mbar
2022-04-04, 10:37:08	1500 Hz	16 W	1,1E-5 mbar	1,5E-4 mbar
