time	Freq	W	B2	B1
2022-04-04, 10:32:44	1500 Hz	15 W	3,2E-3 mbar	3,1E-3 mbar
2022-04-04, 10:32:46	1500 Hz	15 W	1E-3 mbar	5E-4 mbar
2022-04-04, 10:32:48	1500 Hz	15 W	1E-3 mbar	3E-4 mbar
2022-04-04, 10:32:50	1500 Hz	15 W	3,6E-5 mbar	3E-4 mbar
2022-04-04, 10:32:52	1500 Hz	16 W	3,2E-5 mbar	2,5E-4 mbar
2022-04-04, 10:32:54	1500 Hz	16 W	2,9E-5 mbar	2E-4 mbar
2022-04-04, 10:32:56	1500 Hz	15 W	2,7E-5 mbar	2E-4 mbar
2022-04-04, 10:32:58	1500 Hz	15 W	2,5E-5 mbar	2E-4 mbar
2022-04-04, 10:33:00	1500 Hz	15 W	2,4E-5 mbar	2E-4 mbar
2022-04-04, 10:33:02	1500 Hz	16 W	2,4E-5 mbar	2E-4 mbar
2022-04-04, 10:33:04	1500 Hz	16 W	2,3E-5 mbar	2E-4 mbar
2022-04-04, 10:33:06	1500 Hz	16 W	2,1E-5 mbar	2E-4 mbar
2022-04-04, 10:33:08	1500 Hz	16 W	2E-5 mbar	2E-4 mbar
2022-04-04, 10:33:10	1500 Hz	15 W	2E-5 mbar	2E-4 mbar
2022-04-04, 10:33:12	1500 Hz	15 W	1,9E-5 mbar	2E-4 mbar
2022-04-04, 10:33:14	1500 Hz	16 W	1,8E-5 mbar	2E-4 mbar
2022-04-04, 10:33:16	1500 Hz	16 W	1,8E-5 mbar	1,5E-4 mbar
2022-04-04, 10:33:18	1500 Hz	16 W	1,8E-5 mbar	1,5E-4 mbar
2022-04-04, 10:33:20	1500 Hz	15 W	1,8E-5 mbar	1,5E-4 mbar
2022-04-04, 10:33:22	1500 Hz	15 W	1,7E-5 mbar	1,5E-4 mbar
2022-04-04, 10:33:24	1500 Hz	15 W	1,7E-5 mbar	1,5E-4 mbar
2022-04-04, 10:33:26	1500 Hz	15 W	1,7E-5 mbar	1,5E-4 mbar
2022-04-04, 10:33:28	1500 Hz	16 W	1,6E-5 mbar	1,5E-4 mbar
2022-04-04, 10:33:30	1500 Hz	16 W	1,6E-5 mbar	1,5E-4 mbar
2022-04-04, 10:33:32	1500 Hz	16 W	1,6E-5 mbar	1,5E-4 mbar
2022-04-04, 10:33:34	1500 Hz	16 W	1,6E-5 mbar	1,5E-4 mbar
2022-04-04, 10:33:36	1500 Hz	15 W	1,6E-5 mbar	1,5E-4 mbar
2022-04-04, 10:33:38	1500 Hz	16 W	1,5E-5 mbar	1,5E-4 mbar
2022-04-04, 10:33:40	1500 Hz	16 W	1,5E-5 mbar	1,5E-4 mbar
2022-04-04, 10:33:42	1500 Hz	16 W	1,5E-5 mbar	1,5E-4 mbar
2022-04-04, 10:33:44	1500 Hz	16 W	1,5E-5 mbar	1,5E-4 mbar
2022-04-04, 10:33:46	1500 Hz	15 W	1,5E-5 mbar	1,5E-4 mbar
2022-04-04, 10:33:48	1500 Hz	15 W	1,5E-5 mbar	1,5E-4 mbar
2022-04-04, 10:33:50	1500 Hz	15 W	1,4E-5 mbar	1,5E-4 mbar
2022-04-04, 10:33:52	1500 Hz	15 W	1,4E-5 mbar	1,5E-4 mbar
2022-04-04, 10:33:54	1500 Hz	16 W	1,4E-5 mbar	1,5E-4 mbar
2022-04-04, 10:33:56	1500 Hz	16 W	1,4E-5 mbar	1,5E-4 mbar
2022-04-04, 10:33:58	1500 Hz	16 W	1,4E-5 mbar	1,5E-4 mbar
2022-04-04, 10:34:00	1500 Hz	16 W	1,4E-5 mbar	1,5E-4 mbar
2022-04-04, 10:34:02	1500 Hz	15 W	1,4E-5 mbar	1,5E-4 mbar
2022-04-04, 10:34:04	1500 Hz	15 W	1,4E-5 mbar	1,5E-4 mbar
2022-04-04, 10:34:06	1500 Hz	16 W	1,3E-5 mbar	1,5E-4 mbar
2022-04-04, 10:34:08	1500 Hz	16 W	1,3E-5 mbar	1,5E-4 mbar
2022-04-04, 10:34:10	1500 Hz	16 W	1,3E-5 mbar	1,5E-4 mbar
2022-04-04, 10:34:12	1500 Hz	15 W	1,3E-5 mbar	1,5E-4 mbar
2022-04-04, 10:34:14	1500 Hz	15 W	1,3E-5 mbar	1,5E-4 mbar
2022-04-04, 10:34:16	1500 Hz	16 W	1,3E-5 mbar	1,5E-4 mbar
2022-04-04, 10:34:18	1500 Hz	15 W	1,3E-5 mbar	1,5E-4 mbar
2022-04-04, 10:34:20	1500 Hz	16 W	1,3E-5 mbar	1,5E-4 mbar
2022-04-04, 10:34:22	1500 Hz	16 W	1,3E-5 mbar	1,5E-4 mbar
2022-04-04, 10:34:24	1500 Hz	15 W	1,2E-5 mbar	1,5E-4 mbar
2022-04-04, 10:34:26	1500 Hz	16 W	1,2E-5 mbar	1,5E-4 mbar
2022-04-04, 10:34:28	1500 Hz	15 W	1,2E-5 mbar	1,5E-4 mbar
