time	Freq	W	B2	B1
2022-04-04, 10:34:30	1500 Hz	16 W	1,2E-5 mbar	1,5E-4 mbar
2022-04-04, 10:34:32	1500 Hz	16 W	1,9E-5 mbar	1,5E-4 mbar
2022-04-04, 10:34:34	1500 Hz	16 W	3,7E-5 mbar	2,5E-4 mbar
2022-04-04, 10:34:36	1500 Hz	15 W	4,8E-5 mbar	3E-4 mbar
2022-04-04, 10:34:38	1500 Hz	15 W	6,2E-5 mbar	4E-4 mbar
2022-04-04, 10:34:40	1500 Hz	15 W	7,2E-5 mbar	4,5E-4 mbar
2022-04-04, 10:34:42	1500 Hz	15 W	8,3E-5 mbar	5E-4 mbar
2022-04-04, 10:34:44	1500 Hz	16 W	9,1E-5 mbar	6E-4 mbar
2022-04-04, 10:34:46	1500 Hz	16 W	1E-4 mbar	6,5E-4 mbar
2022-04-04, 10:34:48	1500 Hz	16 W	1,1E-4 mbar	7,5E-4 mbar
2022-04-04, 10:34:50	1500 Hz	15 W	1,3E-4 mbar	8E-4 mbar
2022-04-04, 10:34:52	1500 Hz	15 W	1,4E-4 mbar	8,5E-4 mbar
2022-04-04, 10:34:54	1500 Hz	16 W	1,5E-4 mbar	9,5E-4 mbar
2022-04-04, 10:34:56	1500 Hz	16 W	1,6E-4 mbar	1E-3 mbar
2022-04-04, 10:34:58	1500 Hz	16 W	1,6E-4 mbar	1,1E-3 mbar
2022-04-04, 10:35:00	1500 Hz	16 W	1,7E-4 mbar	1,2E-3 mbar
2022-04-04, 10:35:02	1500 Hz	15 W	1,8E-4 mbar	1,2E-3 mbar
2022-04-04, 10:35:04	1500 Hz	15 W	1,1E-3 mbar	1,3E-3 mbar
2022-04-04, 10:35:06	1500 Hz	15 W	1,3E-3 mbar	1,4E-3 mbar
2022-04-04, 10:35:08	1500 Hz	16 W	1,3E-3 mbar	1,5E-3 mbar
2022-04-04, 10:35:10	1500 Hz	16 W	1,5E-3 mbar	1,6E-3 mbar
2022-04-04, 10:35:12	1500 Hz	15 W	1,5E-3 mbar	1,6E-3 mbar
2022-04-04, 10:35:14	1500 Hz	16 W	1,6E-3 mbar	1,7E-3 mbar
2022-04-04, 10:35:16	1500 Hz	16 W	1,7E-3 mbar	1,8E-3 mbar
2022-04-04, 10:35:18	1500 Hz	15 W	1,8E-3 mbar	1,9E-3 mbar
2022-04-04, 10:35:20	1500 Hz	16 W	1,8E-3 mbar	2E-3 mbar
2022-04-04, 10:35:22	1500 Hz	16 W	1,9E-3 mbar	2,1E-3 mbar
2022-04-04, 10:35:24	1500 Hz	16 W	1,9E-3 mbar	2,1E-3 mbar
2022-04-04, 10:35:26	1500 Hz	15 W	2,1E-3 mbar	2,2E-3 mbar
2022-04-04, 10:35:28	1500 Hz	16 W	2,1E-3 mbar	2,2E-3 mbar
2022-04-04, 10:35:30	1500 Hz	15 W	2,2E-3 mbar	2,3E-3 mbar
2022-04-04, 10:35:32	1500 Hz	15 W	2,2E-3 mbar	2,3E-3 mbar
2022-04-04, 10:35:34	1500 Hz	16 W	2,4E-3 mbar	2,4E-3 mbar
2022-04-04, 10:35:36	1500 Hz	16 W	2,4E-3 mbar	2,4E-3 mbar
2022-04-04, 10:35:38	1500 Hz	16 W	2,5E-3 mbar	2,4E-3 mbar
2022-04-04, 10:35:40	1500 Hz	16 W	2,5E-3 mbar	2,5E-3 mbar
2022-04-04, 10:35:42	1500 Hz	15 W	2,5E-3 mbar	2,5E-3 mbar
2022-04-04, 10:35:44	1500 Hz	15 W	2,6E-3 mbar	2,5E-3 mbar
2022-04-04, 10:35:46	1500 Hz	15 W	2,6E-3 mbar	2,6E-3 mbar
2022-04-04, 10:35:48	1500 Hz	16 W	2,7E-3 mbar	2,6E-3 mbar
2022-04-04, 10:35:50	1500 Hz	16 W	2,7E-3 mbar	2,7E-3 mbar
2022-04-04, 10:35:52	1500 Hz	16 W	2,8E-3 mbar	2,7E-3 mbar
2022-04-04, 10:35:54	1500 Hz	16 W	2,8E-3 mbar	2,8E-3 mbar
2022-04-04, 10:35:56	1500 Hz	15 W	2,9E-3 mbar	2,8E-3 mbar
2022-04-04, 10:35:58	1500 Hz	16 W	2,9E-3 mbar	2,8E-3 mbar
2022-04-04, 10:36:00	1500 Hz	16 W	3E-3 mbar	2,9E-3 mbar
2022-04-04, 10:36:02	1500 Hz	16 W	3E-3 mbar	2,9E-3 mbar
2022-04-04, 10:36:04	1500 Hz	16 W	3,1E-3 mbar	3E-3 mbar
